"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","embedding_size","epochs","learning_rate","num_decoder_layers","num_encoder_layers","epoch","epoch_time","train_loss","train_top1_accuracy","train_top5_accuracy","valid_loss","valid_top1_accuracy","valid_top5_accuracy"
"visionary-monkey-4","crashed","-","","","2025-01-12T15:13:58.000Z","24755","","32","512","50","0.0001","6","6","49","","1.4019491872302683","","","","",""
"fast-wildflower-3","finished","-","","","2025-01-10T20:34:58.000Z","5328","","32","192","50","0.0001","3","3","50","107.21994329994776","3.317737834540003","0.36398958878327253","0.609534125586697","3.739768942450262","0.35848489853509674","0.5868194590600946"
"super-moon-2","finished","-","","","2025-01-10T18:31:48.000Z","5332","","32","192","50","0.0001","3","3","50","106.50356539996574","3.31827179099451","0.3638004962619644","0.6095430854567163","3.7379301809201575","0.35750097659385777","0.5870805448487709"
"likely-vortex-1","failed","-","","","2025-01-10T18:30:39.000Z","2","","32","192","50","0.0001","3","3","","","","","","","",""
